tx_id,customer_id,item_id,qty,amount,dispatch_margin_hours,is_layaway,signature,timestamp
TX-1782527804896-0,CUST-1219,C992,1,120.00,2,false,7f61cf5f37bc2149,2026-06-27T02:36:44.896276537+00:00
TX-1782527804896-1,CUST-0141,C992,7,840.00,0,false,d5e1e9477359e680,2026-06-27T02:36:44.896303766+00:00
TX-1782527804896-2,CUST-9168,A001,8,19600.00,24,false,17970b32eab893d0,2026-06-27T02:36:44.896307966+00:00
TX-1782527804896-3,CUST-6530,B015,6,2704.50,24,true,8d7cc4b7493282e9,2026-06-27T02:36:44.896312217+00:00
TX-1782527804896-4,CUST-9485,C992,9,1080.00,2,false,654fd9af66ca8944,2026-06-27T02:36:44.896331646+00:00
TX-1782527804896-5,CUST-3170,C992,4,480.00,48,false,379a0dac923d2400,2026-06-27T02:36:44.896335266+00:00
TX-1782527804896-6,CUST-3005,B015,2,901.50,24,false,f5165a545ef0278f,2026-06-27T02:36:44.896338677+00:00
TX-1782527804896-7,CUST-3905,A002,9,16654.50,48,true,61a6f08f31bc7373,2026-06-27T02:36:44.896342186+00:00
TX-1782527804896-8,CUST-3479,C992,6,720.00,2,false,2028a6855012ffc9,2026-06-27T02:36:44.896345857+00:00
TX-1782527804896-9,CUST-2798,A002,2,3701.00,24,false,e78e248660d5f35a,2026-06-27T02:36:44.896364366+00:00
TX-1782527804896-10,CUST-6392,A001,9,22050.00,24,false,26958b127aa9f511,2026-06-27T02:36:44.896367917+00:00
TX-1782527804896-11,CUST-5337,C992,1,120.00,48,false,14cc950f7f1b9938,2026-06-27T02:36:44.896371646+00:00
TX-1782527804896-12,CUST-1285,B015,3,1352.25,24,false,a874d8258a51f7,2026-06-27T02:36:44.896374986+00:00
TX-1782527804896-13,CUST-2461,B015,9,4056.75,48,false,dc809cfb386596a8,2026-06-27T02:36:44.896378557+00:00
TX-1782527804896-14,CUST-8839,C992,8,960.00,0,false,10de6778549d4427,2026-06-27T02:36:44.896397346+00:00
TX-1782527804896-15,CUST-6259,A001,7,17150.00,24,false,a1866c5cf91e4c49,2026-06-27T02:36:44.896400776+00:00
TX-1782527804896-16,CUST-6834,A001,2,4900.00,2,false,b87ba7c1817aeda2,2026-06-27T02:36:44.896404396+00:00
TX-1782527804896-17,CUST-7562,A001,3,7350.00,48,false,245fd8b734058312,2026-06-27T02:36:44.896407886+00:00
TX-1782527804896-18,CUST-8130,A001,7,17150.00,48,false,ab0f9d1c884091e0,2026-06-27T02:36:44.896426426+00:00
TX-1782527804896-19,CUST-6411,B015,8,3606.00,2,false,e53ff0892e546611,2026-06-27T02:36:44.896430006+00:00
TX-1782527804896-20,CUST-4966,B015,1,450.75,2,true,e9408829edd3909a,2026-06-27T02:36:44.896433446+00:00
TX-1782527804896-21,CUST-4218,A001,4,9800.00,48,false,356a1e73438bafeb,2026-06-27T02:36:44.896436856+00:00
